config_id,strategy,search_scope,query_id,specificity,target_document_codes,gold_unit_count,top_k,precision,recall,f1,r_precision,mrr,ndcg,retrieved_answer_unit_count,relevant_retrieved_count
fs_64_12,fixed_size,all_acts,q4eu_014,N,E,2,5,0.3333333333333333,1.0,0.5,0.5,1.0,0.8315546295836225,6,2
fs_64_12,fixed_size,all_acts,q4eu_014,N,E,2,10,0.2,1.0,0.33333333333333337,0.5,1.0,0.8315546295836225,10,2
fs_64_12,fixed_size,all_acts,q4eu_015,H,E,1,5,0.5,1.0,0.6666666666666666,0.0,0.5,0.6309297535714575,2,1
fs_64_12,fixed_size,all_acts,q4eu_015,H,E,1,10,0.2,1.0,0.33333333333333337,0.0,0.5,0.6309297535714575,5,1
fs_64_12,fixed_size,all_acts,q4eu_016,N,E,2,5,0.3333333333333333,1.0,0.5,0.5,1.0,0.8503449055347546,6,2
fs_64_12,fixed_size,all_acts,q4eu_016,N,E,2,10,0.2857142857142857,1.0,0.4444444444444445,0.5,1.0,0.8503449055347546,7,2
fs_64_12,fixed_size,all_acts,q4eu_017,L,E,2,5,0.3333333333333333,1.0,0.5,0.5,0.5,0.6934264036172708,6,2
fs_64_12,fixed_size,all_acts,q4eu_017,L,E,2,10,0.2222222222222222,1.0,0.3636363636363636,0.5,0.5,0.6934264036172708,9,2
fs_64_12,fixed_size,all_acts,q4eu_018,H,G,1,5,0.2,1.0,0.33333333333333337,0.0,0.5,0.6309297535714575,5,1
fs_64_12,fixed_size,all_acts,q4eu_018,H,G,1,10,0.08333333333333333,1.0,0.15384615384615385,0.0,0.5,0.6309297535714575,12,1
fs_64_12,fixed_size,all_acts,q4eu_019,N,G,1,5,0.0,0.0,0.0,0.0,0.0,0.0,4,0
fs_64_12,fixed_size,all_acts,q4eu_019,N,G,1,10,0.16666666666666666,1.0,0.2857142857142857,0.0,0.2,0.38685280723454163,6,1
fs_64_12,fixed_size,all_acts,q4eu_020,L,G,6,5,0.4,0.3333333333333333,0.3636363636363636,0.3333333333333333,1.0,0.5087403079104241,5,2
fs_64_12,fixed_size,all_acts,q4eu_020,L,G,6,10,0.4,0.6666666666666666,0.5,0.5,1.0,0.6527851779961892,10,4
fs_64_12,fixed_size,all_acts,q4eu_021,N,G,2,5,0.2,0.5,0.28571428571428575,0.0,0.3333333333333333,0.3065735963827292,5,1
fs_64_12,fixed_size,all_acts,q4eu_021,N,G,2,10,0.1111111111111111,0.5,0.1818181818181818,0.0,0.3333333333333333,0.3065735963827292,9,1
fs_64_12,fixed_size,all_acts,q4eu_022,L,G,5,5,0.16666666666666666,0.2,0.1818181818181818,0.2,0.3333333333333333,0.16958010263680806,6,1
fs_64_12,fixed_size,all_acts,q4eu_022,L,G,5,10,0.25,0.4,0.3076923076923077,0.2,0.3333333333333333,0.2826335043946801,8,2
fs_64_12,fixed_size,all_acts,q4eu_023,N,G,2,5,0.16666666666666666,0.5,0.25,0.5,1.0,0.6131471927654584,6,1
fs_64_12,fixed_size,all_acts,q4eu_023,N,G,2,10,0.09090909090909091,0.5,0.15384615384615385,0.5,1.0,0.6131471927654584,11,1
fs_64_12,fixed_size,all_acts,q4eu_024,H,G,3,5,0.4,0.6666666666666666,0.5,0.3333333333333333,1.0,0.6713860725233041,5,2
fs_64_12,fixed_size,all_acts,q4eu_024,H,G,3,10,0.3,1.0,0.4615384615384615,0.3333333333333333,1.0,0.8385465274895063,10,3
fs_64_12,fixed_size,all_acts,q4eu_025,L,G,8,5,0.125,0.125,0.125,0.125,0.16666666666666666,0.0901000086523677,8,1
fs_64_12,fixed_size,all_acts,q4eu_025,L,G,8,10,0.23076923076923078,0.375,0.2857142857142857,0.125,0.16666666666666666,0.22965213036925383,13,3
fs_64_12,fixed_size,all_acts,q4eu_026,H,G,1,5,0.25,1.0,0.4,0.0,0.5,0.6309297535714575,4,1
fs_64_12,fixed_size,all_acts,q4eu_026,H,G,1,10,0.125,1.0,0.2222222222222222,0.0,0.5,0.6309297535714575,8,1
fs_64_12,fixed_size,all_acts,q4eu_027,H,G,1,5,0.16666666666666666,1.0,0.2857142857142857,1.0,1.0,1.0,6,1
fs_64_12,fixed_size,all_acts,q4eu_027,H,G,1,10,0.07692307692307693,1.0,0.14285714285714288,1.0,1.0,1.0,13,1
fs_64_12,fixed_size,all_acts,q4eu_028,N,G,4,5,0.16666666666666666,0.25,0.2,0.25,0.5,0.24630238874073,6,1
fs_64_12,fixed_size,all_acts,q4eu_028,N,G,4,10,0.125,0.25,0.16666666666666666,0.25,0.5,0.24630238874073,8,1
fs_64_12,fixed_size,all_acts,q4eu_029,N,G,2,5,0.14285714285714285,0.5,0.22222222222222224,0.5,1.0,0.6131471927654584,7,1
fs_64_12,fixed_size,all_acts,q4eu_029,N,G,2,10,0.125,0.5,0.2,0.5,1.0,0.6131471927654584,8,1
fs_64_12,fixed_size,all_acts,q4eu_030,N,G,4,5,0.14285714285714285,0.25,0.18181818181818182,0.25,0.5,0.24630238874073,7,1
fs_64_12,fixed_size,all_acts,q4eu_030,N,G,4,10,0.08333333333333333,0.25,0.125,0.25,0.5,0.24630238874073,12,1
fs_64_12,fixed_size,all_acts,q4eu_031,H,G,3,5,0.3333333333333333,0.6666666666666666,0.4444444444444444,0.3333333333333333,1.0,0.6364391809889587,6,2
fs_64_12,fixed_size,all_acts,q4eu_031,H,G,3,10,0.16666666666666666,0.6666666666666666,0.26666666666666666,0.3333333333333333,1.0,0.6364391809889587,12,2
fs_64_12,fixed_size,all_acts,q4eu_032,N,G,3,5,0.2,0.3333333333333333,0.25,0.3333333333333333,0.5,0.2960819109658652,5,1
fs_64_12,fixed_size,all_acts,q4eu_032,N,G,3,10,0.375,1.0,0.5454545454545454,0.3333333333333333,0.5,0.6196686079396531,8,3
fs_64_12,fixed_size,all_acts,q4eu_033,L,G,6,5,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,1.0,0.8829374068620365,6,5
fs_64_12,fixed_size,all_acts,q4eu_033,L,G,6,10,0.75,1.0,0.8571428571428571,0.8333333333333334,1.0,0.9783978399515039,8,6
fs_64_12,fixed_size,all_acts,q4eu_034,L,B,3,5,0.0,0.0,0.0,0.0,0.0,0.0,7,0
fs_64_12,fixed_size,all_acts,q4eu_034,L,B,3,10,0.0,0.0,0.0,0.0,0.0,0.0,15,0
fs_64_12,fixed_size,all_acts,q4eu_035,N,B,4,5,0.14285714285714285,0.25,0.18181818181818182,0.0,0.14285714285714285,0.13012668333070054,7,1
fs_64_12,fixed_size,all_acts,q4eu_035,N,B,4,10,0.08333333333333333,0.25,0.125,0.0,0.14285714285714285,0.13012668333070054,12,1
fs_64_12,fixed_size,all_acts,q4eu_036,N,RI,4,5,0.1111111111111111,0.25,0.15384615384615383,0.25,1.0,0.3903800499921017,9,1
fs_64_12,fixed_size,all_acts,q4eu_036,N,RI,4,10,0.06666666666666667,0.25,0.10526315789473685,0.25,1.0,0.3903800499921017,15,1
fs_64_12,fixed_size,all_acts,q4eu_037,H,B,3,5,0.4,0.6666666666666666,0.5,0.6666666666666666,1.0,0.7039180890341347,5,2
fs_64_12,fixed_size,all_acts,q4eu_037,H,B,3,10,0.3333333333333333,1.0,0.5,0.6666666666666666,1.0,0.86034433104172,9,3
fs_64_12,fixed_size,all_acts,q4eu_038,H,B,3,5,0.6,1.0,0.7499999999999999,1.0,1.0,1.0,5,3
fs_64_12,fixed_size,all_acts,q4eu_038,H,B,3,10,0.3,1.0,0.4615384615384615,1.0,1.0,1.0,10,3
fs_64_12,fixed_size,all_acts,q4eu_039,N,RII,22,5,0.5,0.13636363636363635,0.21428571428571427,0.13636363636363635,0.3333333333333333,0.38941412718428836,6,3
fs_64_12,fixed_size,all_acts,q4eu_039,N,RII,22,10,0.4166666666666667,0.22727272727272727,0.29411764705882354,0.22727272727272727,0.3333333333333333,0.3749026536918716,12,5
fs_64_12,fixed_size,all_acts,q4eu_040,H,RI,4,5,0.14285714285714285,0.25,0.18181818181818182,0.25,1.0,0.3903800499921017,7,1
fs_64_12,fixed_size,all_acts,q4eu_040,H,RI,4,10,0.14285714285714285,0.5,0.22222222222222224,0.25,1.0,0.490300956513237,14,2
fs_64_12,fixed_size,all_acts,q4eu_041,N,B,5,5,0.25,0.4,0.3076923076923077,0.2,0.3333333333333333,0.29039140533630226,8,2
fs_64_12,fixed_size,all_acts,q4eu_041,N,B,5,10,0.25,0.6,0.35294117647058826,0.2,0.3333333333333333,0.3820454332646352,12,3
fs_64_12,fixed_size,all_acts,q4eu_042,L,RI,2,5,0.16666666666666666,0.5,0.25,0.5,1.0,0.6131471927654584,6,1
fs_64_12,fixed_size,all_acts,q4eu_042,L,RI,2,10,0.07692307692307693,0.5,0.13333333333333336,0.5,1.0,0.6131471927654584,13,1
fs_64_12,fixed_size,all_acts,q4eu_043,N,B;RI,2,5,0.25,1.0,0.4,0.5,1.0,0.9197207891481876,8,2
fs_64_12,fixed_size,all_acts,q4eu_043,N,B;RI,2,10,0.14285714285714285,1.0,0.25,0.5,1.0,0.9197207891481876,14,2
fs_64_12,fixed_size,all_acts,q4eu_044,L,RI,4,5,0.2857142857142857,0.5,0.36363636363636365,0.5,0.5,0.44149241373678083,7,2
fs_64_12,fixed_size,all_acts,q4eu_044,L,RI,4,10,0.3,0.75,0.4285714285714285,0.5,0.5,0.5543375550857161,10,3
fs_64_12,fixed_size,all_acts,q4eu_045,N,B,4,5,0.4,0.5,0.4444444444444445,0.5,1.0,0.5585075862632192,5,2
fs_64_12,fixed_size,all_acts,q4eu_045,N,B,4,10,0.36363636363636365,1.0,0.5333333333333333,0.5,1.0,0.8061503743503469,11,4
fs_64_12,fixed_size,all_acts,q4eu_046,H,B,5,5,0.6,0.6,0.6,0.6,1.0,0.7227265726449519,5,3
fs_64_12,fixed_size,all_acts,q4eu_046,H,B,5,10,0.3,0.6,0.4,0.6,1.0,0.7227265726449519,10,3
fs_64_12,fixed_size,all_acts,q4eu_047,N,W,5,5,0.2,0.2,0.20000000000000004,0.2,0.5,0.21398626473452756,5,1
fs_64_12,fixed_size,all_acts,q4eu_047,N,W,5,10,0.1111111111111111,0.2,0.14285714285714285,0.2,0.5,0.21398626473452756,9,1
fs_64_12,fixed_size,all_acts,q4eu_048,L,W,3,5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.46927872602275644,3,1
fs_64_12,fixed_size,all_acts,q4eu_048,L,W,3,10,0.2222222222222222,0.6666666666666666,0.3333333333333333,0.3333333333333333,1.0,0.6713860725233041,9,2
fs_64_12,fixed_size,all_acts,q4eu_049,N,W,3,5,0.14285714285714285,0.3333333333333333,0.2,0.3333333333333333,1.0,0.46927872602275644,7,1
fs_64_12,fixed_size,all_acts,q4eu_049,N,W,3,10,0.1,0.3333333333333333,0.15384615384615383,0.3333333333333333,1.0,0.46927872602275644,10,1
fs_64_12,fixed_size,all_acts,q4eu_050,H,W,2,5,0.0,0.0,0.0,0.0,0.0,0.0,4,0
fs_64_12,fixed_size,all_acts,q4eu_050,H,W,2,10,0.08333333333333333,0.5,0.14285714285714285,0.0,0.16666666666666666,0.21840743681816419,12,1
fs_64_12,fixed_size,all_acts,q4eu_051,L,W,5,5,0.375,0.6,0.4615384615384615,0.6,1.0,0.6548086577531307,8,3
fs_64_12,fixed_size,all_acts,q4eu_051,L,W,5,10,0.23529411764705882,0.8,0.3636363636363636,0.6,1.0,0.749415004459795,17,4
fs_64_12,fixed_size,all_acts,q4eu_052,H,W,1,5,0.16666666666666666,1.0,0.2857142857142857,1.0,1.0,1.0,6,1
fs_64_12,fixed_size,all_acts,q4eu_052,H,W,1,10,0.1,1.0,0.18181818181818182,1.0,1.0,1.0,10,1
fs_64_12,fixed_size,all_acts,q4eu_053,N,W,2,5,0.14285714285714285,0.5,0.22222222222222224,0.5,1.0,0.6131471927654584,7,1
fs_64_12,fixed_size,all_acts,q4eu_053,N,W,2,10,0.1111111111111111,0.5,0.1818181818181818,0.5,1.0,0.6131471927654584,9,1
fs_64_12,fixed_size,all_acts,q4eu_054,L,W,4,5,0.0,0.0,0.0,0.0,0.0,0.0,8,0
fs_64_12,fixed_size,all_acts,q4eu_054,L,W,4,10,0.09090909090909091,0.25,0.13333333333333333,0.0,0.1,0.11284514134893527,11,1
fs_64_12,fixed_size,all_acts,q4eu_055,H,W,1,5,0.14285714285714285,1.0,0.25,1.0,1.0,1.0,7,1
fs_64_12,fixed_size,all_acts,q4eu_055,H,W,1,10,0.08333333333333333,1.0,0.15384615384615385,1.0,1.0,1.0,12,1
fs_64_12,fixed_size,all_acts,q4eu_056,L,W,4,5,0.6666666666666666,0.5,0.5714285714285715,0.5,0.5,0.5307212739772434,3,2
fs_64_12,fixed_size,all_acts,q4eu_056,L,W,4,10,0.2857142857142857,0.5,0.36363636363636365,0.5,0.5,0.44149241373678083,7,2
