config_id,search_scope,target_document,top_k,query_count,precision,recall,f1,r_precision,mrr,ndcg,retrieved_answer_unit_count,relevant_retrieved_count
fs_256_50,target_acts,RII,5,3,0.1978021978021978,0.393939393939394,0.23093681917211328,0.2272727272727273,0.6666666666666666,0.4483407870405609,12.0,2.6666666666666665
fs_256_50,target_acts,RII,10,3,0.20811287477954143,0.48484848484848486,0.24106026506626654,0.3181818181818182,0.6666666666666666,0.4794126358824187,23.0,4.666666666666667
fs_256_50,target_acts,W,5,21,0.15343023378737664,0.46349206349206346,0.2164986057400918,0.25396825396825395,0.6321995464852608,0.4188368808654549,8.952380952380953,1.2857142857142858
fs_256_50,target_acts,W,10,21,0.11577070847257181,0.6722222222222223,0.18906954649251567,0.25396825396825395,0.6353741496598639,0.4936266634569262,17.095238095238095,1.9523809523809523
fs_64_12,all_acts,B,5,10,0.2753968253968254,0.4583333333333333,0.3317288267288267,0.3466666666666667,0.5619047619047619,0.4426258596923767,6.7,1.6
fs_64_12,all_acts,B,10,10,0.18398268398268397,0.5616666666666666,0.27180510665804786,0.3466666666666667,0.5619047619047619,0.4921981654946813,12.4,2.0
fs_64_12,all_acts,E,5,17,0.3408496732026144,0.796078431372549,0.44001782531194295,0.44313725490196076,0.6735294117647058,0.6619476400451797,5.588235294117647,1.5294117647058822
fs_64_12,all_acts,E,10,17,0.2312845651080945,0.8941176470588235,0.35397536911377747,0.4725490196078431,0.6735294117647058,0.6885040588244817,9.176470588235293,1.8235294117647058
fs_64_12,all_acts,G,5,17,0.24376750700280111,0.5191176470588235,0.30709829386299975,0.2936274509803921,0.6225490196078431,0.4642791505330156,5.823529411764706,1.411764705882353
fs_64_12,all_acts,G,10,17,0.21708716120480825,0.7122549019607842,0.30771646653999596,0.3034313725490196,0.634313725490196,0.5531601951615069,9.941176470588236,2.0588235294117645
fs_64_12,all_acts,RI,5,7,0.15249433106575963,0.38095238095238093,0.2118048618048618,0.2857142857142857,0.663265306122449,0.4079982809715573,8.0,1.1428571428571428
fs_64_12,all_acts,RI,10,7,0.12263867085295656,0.48095238095238096,0.18998090464255876,0.2857142857142857,0.6721938775510204,0.450247106108013,13.857142857142858,1.5714285714285714
fs_64_12,all_acts,RII,5,3,0.24074074074074073,0.18434343434343434,0.16715506715506714,0.04545454545454545,0.2253968253968254,0.21376707219278823,8.0,1.6666666666666667
fs_64_12,all_acts,RII,10,3,0.2027777777777778,0.29797979797979796,0.19645191409897292,0.07575757575757576,0.2253968253968254,0.2465449614782944,14.333333333333334,2.6666666666666665
fs_64_12,all_acts,W,5,21,0.2376984126984127,0.4507936507936508,0.27887694316265743,0.37936507936507935,0.7261904761904762,0.48266994748587355,5.666666666666667,1.1904761904761905
fs_64_12,all_acts,W,10,21,0.16385342015594115,0.5873015873015873,0.24040086897229754,0.37936507936507935,0.7388888888888889,0.5356718913498052,10.571428571428571,1.619047619047619
fs_64_12,pil_acts,B,5,10,0.29539682539682544,0.4583333333333333,0.3444272394272394,0.36333333333333334,0.5676190476190477,0.4520628571365072,6.5,1.6
fs_64_12,pil_acts,B,10,10,0.18831349206349207,0.5616666666666666,0.2757311805841217,0.36333333333333334,0.5676190476190477,0.5060589355818113,12.2,2.0
fs_64_12,pil_acts,RI,5,7,0.21882086167800452,0.41666666666666663,0.266999666999667,0.34523809523809523,0.6714285714285715,0.43433008929195877,7.571428571428571,1.2857142857142858
fs_64_12,pil_acts,RI,10,7,0.13275771847200418,0.48095238095238096,0.19956655708535406,0.34523809523809523,0.6816326530612244,0.461006043971539,13.714285714285714,1.5714285714285714
fs_64_12,pil_acts,RII,5,3,0.27777777777777773,0.2676767676767677,0.2184371184371184,0.101010101010101,0.24444444444444446,0.2602158443068074,8.0,2.0
fs_64_12,pil_acts,RII,10,3,0.20734126984126985,0.29797979797979796,0.20241632006337892,0.1313131313131313,0.24444444444444446,0.25537868647600176,14.0,2.6666666666666665
fs_64_12,target_acts,B,5,10,0.44896825396825396,0.6366666666666666,0.49373015873015874,0.5033333333333333,0.7842857142857143,0.6465965240776007,5.4,2.1
fs_64_12,target_acts,B,10,10,0.24041666666666667,0.735,0.3523509823509824,0.5233333333333333,0.7842857142857143,0.6757455530434704,11.0,2.5
fs_64_12,target_acts,E,5,17,0.3545751633986928,0.796078431372549,0.4540234275528393,0.44313725490196076,0.6735294117647058,0.6646335627366166,5.411764705882353,1.5294117647058822
fs_64_12,target_acts,E,10,17,0.2406216332686921,0.8941176470588235,0.36526473334431814,0.4725490196078431,0.6735294117647058,0.6911899815159185,8.941176470588236,1.8235294117647058
fs_64_12,target_acts,G,5,17,0.24376750700280111,0.5191176470588235,0.30709829386299975,0.2936274509803921,0.6225490196078431,0.4642791505330156,5.823529411764706,1.411764705882353
fs_64_12,target_acts,G,10,17,0.22338968221321162,0.7122549019607842,0.3115949410067057,0.3034313725490196,0.634313725490196,0.5534782562248483,9.882352941176471,2.0588235294117645
fs_64_12,target_acts,RI,5,7,0.22392290249433106,0.41666666666666663,0.271978021978022,0.34523809523809523,0.6714285714285715,0.43433008929195877,7.142857142857143,1.2857142857142858
