query_id,baseline_config_id,hierarchy_config_id,search_scope,top_k,specificity,target_document_codes,baseline_precision,hierarchy_precision,delta_precision,baseline_recall,hierarchy_recall,delta_recall,baseline_f1,hierarchy_f1,delta_f1,baseline_r_precision,hierarchy_r_precision,delta_r_precision,baseline_mrr,hierarchy_mrr,delta_mrr,baseline_ndcg,hierarchy_ndcg,delta_ndcg
q4eu_033,sem_50_256,hier_paragraph,target_acts,10,L,G,0.75,1.0,0.25,1.0,1.0,0.0,0.8571428571428571,1.0,0.1428571428571429,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
q4eu_034,fs_256_50,hier_paragraph,target_acts,10,L,B,0.17647058823529413,0.2857142857142857,0.10924369747899157,1.0,0.6666666666666666,-0.33333333333333337,0.3,0.4,0.10000000000000003,0.0,0.0,0.0,0.25,0.16666666666666666,-0.08333333333333334,0.49418556194058083,0.3235866969737877,-0.1705988649667931
q4eu_034,sem_50_256,hier_paragraph,target_acts,10,L,B,0.3333333333333333,0.2857142857142857,-0.047619047619047616,1.0,0.6666666666666666,-0.33333333333333337,0.5,0.4,-0.09999999999999998,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.4716276524567204,0.3235866969737877,-0.14804095548293267
q4eu_035,fs_256_50,hier_paragraph,target_acts,10,N,B,0.16,0.3333333333333333,0.1733333333333333,1.0,0.75,-0.25,0.2758620689655173,0.46153846153846156,0.18567639257294427,0.25,0.5,0.25,1.0,1.0,0.0,0.6901559429199673,0.6886342695939197,-0.001521673326047579
q4eu_035,sem_50_256,hier_paragraph,target_acts,10,N,B,0.2727272727272727,0.3333333333333333,0.06060606060606061,0.75,0.75,0.0,0.39999999999999997,0.46153846153846156,0.0615384615384616,0.25,0.5,0.25,1.0,1.0,0.0,0.6380228380792293,0.6886342695939197,0.050611431514690386
q4eu_036,fs_256_50,hier_paragraph,target_acts,10,N,RI,0.04,0.1111111111111111,0.0711111111111111,0.25,0.25,0.0,0.06896551724137932,0.15384615384615383,0.0848806366047745,0.0,0.25,0.25,0.125,1.0,0.875,0.123151194370365,0.3903800499921017,0.2672288556217367
q4eu_036,sem_50_256,hier_paragraph,target_acts,10,N,RI,0.0625,0.1111111111111111,0.048611111111111105,0.25,0.25,0.0,0.1,0.15384615384615383,0.05384615384615382,0.25,0.25,0.0,1.0,1.0,0.0,0.3903800499921017,0.3903800499921017,0.0
q4eu_037,fs_256_50,hier_paragraph,target_acts,10,H,B,0.13043478260869565,0.3,0.16956521739130434,1.0,1.0,0.0,0.23076923076923078,0.4615384615384615,0.23076923076923073,0.3333333333333333,0.6666666666666666,0.3333333333333333,1.0,1.0,0.0,0.812653045383133,0.8519590445170673,0.03930599913393429
q4eu_037,sem_50_256,hier_paragraph,target_acts,10,H,B,0.375,0.3,-0.07500000000000001,1.0,1.0,0.0,0.5454545454545454,0.4615384615384615,-0.0839160839160839,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666667,0.5391065605018963,0.8519590445170673,0.31285248401517096
q4eu_038,fs_256_50,hier_paragraph,target_acts,10,H,B,0.15,0.2222222222222222,0.07222222222222222,1.0,0.6666666666666666,-0.33333333333333337,0.2608695652173913,0.3333333333333333,0.07246376811594202,0.6666666666666666,0.6666666666666666,0.0,0.5,1.0,0.5,0.7328286204777911,0.7653606369886217,0.0325320165108306
q4eu_038,sem_50_256,hier_paragraph,target_acts,10,H,B,0.16666666666666666,0.2222222222222222,0.05555555555555555,0.6666666666666666,0.6666666666666666,0.0,0.26666666666666666,0.3333333333333333,0.06666666666666665,0.6666666666666666,0.6666666666666666,0.0,0.5,1.0,0.5,0.5307212739772434,0.7653606369886217,0.23463936301137822
q4eu_039,fs_256_50,hier_paragraph,target_acts,10,N,RII,0.47619047619047616,0.5555555555555556,0.07936507936507942,0.45454545454545453,0.22727272727272727,-0.22727272727272727,0.46511627906976744,0.3225806451612903,-0.14253563390847712,0.45454545454545453,0.22727272727272727,-0.22727272727272727,1.0,1.0,0.0,0.5323726060729483,0.5926006319332827,0.06022802586033438
